Smolt Ocean Survival Population,Managment Unit (FRAM),Latitude,Longitude,Calendar Year,Fishery_Plus_Escapement,Release_No,Smolt Ocean Survival Rate
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1977,3049,29825,0.102229673
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1978,2215,14850,0.149158249
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1979,8278,35770,0.23142298
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1980,2808,19526,0.143808256
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1981,3807,38911,0.097838657
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1982,3537,22477,0.157360858
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1983,2718,19672,0.138165921
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1984,5213,30486,0.170996523
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1985,5437,21309,0.255150406
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1986,4655,20274,0.229604419
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1987,806,9665,0.083393689
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1988,2413,16858,0.14313679
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1989,2648,14323,0.18487747
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1990,1404,17528,0.080100411
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1991,1502,21149,0.071019906
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1992,1222,16979,0.071971259
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1993,2095,10908,0.192060873
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1994,1455,16274,0.089406415
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1995,1554,15146,0.102601347
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1996,3127,21834,0.143217001
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1997,4561,36262,0.125779052
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1998,499,20525,0.024311815
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,1999,1717,19785,0.086782916
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2000,3710,39226,0.094580125
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2001,1290,19462,0.066283013
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2002,2785,21256,0.131021829
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2003,5607,30449,0.184143978
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2004,2589,22086,0.117223581
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2005,1233,29343,0.042020243
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2006,3086,33329,0.092592037
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2007,475,22474,0.021135534
Big Beef Crk W,Area 12-12B Wild,47.65191593,-122.7836076,2008,2067,24709,0.083653729
