Calendar Year,Managment Unit (FRAM),SubPopulation,SaSI Population,Smolt Abundance Population,Smolt Abundance,Smolt_Abundance_Matches_FRAM,Smolt_Abunce_Matches_SASI_but_not_FRAM,Age 3 Escapement (FRAM),January Age 3 Abundance pre-natural mortality and pre-harvest,Age 3 Abundance post-natural mortality-pre harvest,Harvest # FRAM,Harvest (% FRAM),Latitude,Longitude,SASI Natural Origin Abundance,SASI Hatchery Origin Abundance,SASI CompositeOrigin Abundance,SASI unknown Origin Abundance,Sub Pop Natural Orign Abundance (Age 3 Escapment),SupPopulation Escapement
1986,Area 10 Miscellaneous Wild,,,,,0,0,799.788792,3090,2509.135201,1709.346409,0.681249224,47.668699,-122.465661,,,,,,
1987,Area 10 Miscellaneous Wild,,,,,0,0,599.850242,1566,1271.619976,671.7697336,0.528278689,47.668699,-122.465661,,,,,,
1988,Area 10 Miscellaneous Wild,,,,,0,0,299.661352,1156,938.6926512,639.0312992,0.68076734,47.668699,-122.465661,,,,,,
1989,Area 10 Miscellaneous Wild,,,,,0,0,299.769834,1162,943.5647584,643.7949244,0.682300731,47.668699,-122.465661,,,,,,
1990,Area 10 Miscellaneous Wild,,,,,0,0,799.66774,2654,2155.095412,1355.427672,0.628940911,47.668699,-122.465661,,,,,,
1991,Area 10 Miscellaneous Wild,,,,,0,0,199.772012,890,722.6958993,522.9238873,0.723573896,47.668699,-122.465661,,,,,,
1992,Area 10 Miscellaneous Wild,,,,,0,0,199.74209,646,524.5635404,324.8214504,0.619222316,47.668699,-122.465661,,,,,,
1993,Area 10 Miscellaneous Wild,,,,,0,0,299.56347,808,656.1104344,356.5469644,0.543425231,47.668699,-122.465661,,,,,,
1994,Area 10 Miscellaneous Wild,,,,,0,0,1599.940982,3082,2502.639058,902.6980761,0.360698469,47.668699,-122.465661,,,,,,
1995,Area 10 Miscellaneous Wild,,,,,0,0,1199.71471,2164,1757.206659,557.4919485,0.317260321,47.668699,-122.465661,,,,,,
1996,Area 10 Miscellaneous Wild,,,,,0,0,999.632552,1908,1549.330085,549.6975333,0.354796914,47.668699,-122.465661,,,,,,
1997,Area 10 Miscellaneous Wild,,,,,0,0,2300.121368,3606,2928.136419,628.015051,0.214476022,47.668699,-122.465661,,,,,,
1998,Area 10 Miscellaneous Wild,,,,,0,0,799.97844,1152.7908,936.0867235,136.1082835,0.145401361,47.668699,-122.465661,,,,,,
