Managment Unit (FRAM),SaSI Population,Smolt Population,Population,Notes About Population Area,Length_ft,Length_mi,KM
Area 10 Miscellaneous Wild,,,Area 10 Miscellaneous Wild,"area 10 streams and rivers EXCEPT Lake Washington Basin, Green/Duwamish Basin (incl. Salmonberry, Curley, Cool)",130870,24.8,39.9
Area 10E Miscellaneous Wild,,,Area 10E Miscellaneous Wild,"gorst creek (and all tribs), Blackjack, Little Blackjack, Wildcat, Lost, others",428981,81.2,130.8
Area 11 Miscellaneous Wild,,,Area 11 Miscellaneous Wild,"Area 11 streams and rivers EXCEPT Puyallup Basin (North, Crescent, Olalla creeks plus others)",147105,27.9,44.8
Area 12-12B Wild,Northeast Hood Canal,Big Beef Creek,Northeast Hood Canal,Only Big Beef Creek,82681,15.7,25.2
Area 12-12B Wild,,,Area 12-12B Wild,"Dosewallips, Duckabush, Hamma Hamma, and tributaries ",313131,59.3,95.4
Area 12A Wild,,,Area 12A Wild,all streams/rivers in quilcene and dabob bays,250397,47.4,76.3
Area 12C-12D Wild,,,Area 12C-12D Wild,all streams and rivers south of Ayock Pt in Hood Canal EXCEPT Skokomish basin,665129,126,202.7
Area 13 Miscellaneous Wild,,,Area 13 Miscellaneous Wild,Chambers Creek Only,212688,40.3,64.8
Area 13A Miscellaneous Wild,,,Area 13A Miscellaneous Wild,Minter creek and tribs & all streams N of line between Green Pt and Penrose Pt.,153221,29,46.7
Area 13B Miscellaneous Wild,,,Area 13B Miscellaneous Wild,"All creeks W. of Nisqually in area 13 not including Deschutes (Woodland, Perry, Skookum, Rock, Goldsborough, Cranberry, Schumacher, Coulter, Rocky)",1183966,224.2,360.9
Area 7-7A Independent Wild,,,Area 7-7A Independent Wild,"Haynie, Dakota, California Creek,Guemes, Fidalgo (Anacortes)",377520,71.5,115.1
Area 9 Miscellaneous Wild,,,Area 9 Miscellaneous Wild,"whidbey island streams, kitsap peninsula N of kingston and hood canal bridge EXCEPT port gamble bay",231198,43.8,70.5
Baker (Skagit) Wild,,,Baker (Skagit) Wild,Baker River Only,335029,63.5,102.1
Chehalis River Wild,,Bingham Creek,,Bingham Creek watershed only upstream of smolt trap,130982,24.8,39.9
Chehalis River Wild,,,Chehalis River Wild,No Humptulips or Grays Harbor tribs downstream of Aberdeen,8248764,1562.3,2514.2
