pop,Name
1,Area 10
2,Area 10E
3,Area 11
4,Area 12-12B
5,Area 12A
6,Area 12C-12D
7,Area 13
8,Area 13A
9,Area 13B
10,Area 7-7A
11,Baker River
12,Chehalis River
13,Deep Creek
14,Deschutes River
15,Discovery Bay
16,Dungeness River
17,East Juan de Fuca
18,East Twin Creek
19,Elwha River
20,Grays Harbor
21,Green River
22,Hoh River
23,Humptulips River
24,Lake Washington
25,McDonald Creek
26,Nisqually River
27,Nooksack River
28,NE Hood Canal
29,Port Gamble Bay
30,Puyallup River
31,Queets River (Fall)
32,Quillayute  (Fall)
33,Quillayute  (Summer)
34,Quinault River (Fall)
35,Salt Creek
36,Samish River
37,Siebert Creek
38,Skagit River
39,Skokomish River
40,Snohomish River
41,Stillaguamish River
42,West Juan de Fuca
43,West Twin Creek
44,Willapa Bay
